query,title,url,snippet
Exelon Corp. Sustainability Report 2023 filetype:pdf site:investors.exeloncorp.com,Leading the Way to a Sustainable Future: Exelon's ESG Programs,https://investors.exeloncorp.com/static-files/f3dbe322-7e74-41f0-80b2-06c14743402e,"2023. 2023. 2018 ... • 2019 Corporate Sustainability Report (reported using TCFD, GRI and SDG standards) ... • 2019 Exelon Diverse Business Empowerment Annual ..."
Exelon Corp. Sustainability Report 2023 filetype:pdf site:investors.exeloncorp.com,Investor Meetings,https://investors.exeloncorp.com/static-files/f6bb999d-6932-4657-92c0-cfa76a3eed5c,"Jan 1, 2024 ... Registrants' 2023 Annual Report on Form 10-K ... Exelon is an Industry Leader in Sustainability ... 2023 for Exelon's utilities (excludes Corp and ..."
Exelon Corp. Sustainability Report 2023 filetype:pdf site:investors.exeloncorp.com,FORM 10-K,https://investors.exeloncorp.com/static-files/6213b240-ab5c-4a4c-9a6a-936702a7e3eb,"Apr 7, 2024 ... This combined Annual Report on Form 10-K is being filed separately by Exelon Corporation, Commonwealth. Edison Company, PECO Energy Company ..."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,DEF 14A - 06/12/2023 - *Demo Website,https://www.vfc.com/investors/financial-information/sec-filings/content/0001193125-23-164886/0001193125-23-164886.pdf,"Jun 12, 2023 ... A copy of VF's Annual Report for fiscal 2023 is included for your information. ... sustainable and responsible growth of VF's businesses, ..."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,VF CORPORATION Annual Report FISCAL YEAR 2023,https://www.vfc.com/investors/financial-information/sec-filings/content/0001193125-23-164888/0001193125-23-164888.pdf,"May 25, 2023 ... VF Corporation Fiscal 2023 Form 10-K. 1. Page ... reviews VF's Code of Business Conduct and VF's sustainability ... Annual Report under the caption ..."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,10-K - 05/25/2023 - *Demo Website,https://www.vfc.com/investors/financial-information/sec-filings/content/0000103379-23-000006/0000103379-23-000006.pdf,"May 25, 2023 ... This document (excluding exhibits) contains 106 pages. Page 3. VF CORPORATION ... reports VF files with the SEC. PART I. ITEM 1 ... In Fiscal 2023, ..."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,Modern Slavery and Human Rights Statement VF is committed to ...,https://vfc.com/modern-slavery-statement,Sustainability Report. This Modern Slavery and Human Rights Statement discusses the activities of VF Corporation and its current consolidated subsidiaries ...
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,8-K - 06/20/2023 - *Demo Website,https://www.vfc.com/investors/financial-information/sec-filings/content/0001193125-23-169577/0001193125-23-169577.pdf,"Jun 20, 2023 ... On June 16, 2023, the Board of Directors (the “Board”) of V. F. Corporation (the “Company”) approved the appointment of Bracken Darrell as."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,10-Q - 02/07/2024 - *Demo Website,https://www.vfc.com/investors/financial-information/sec-filings/content/0000103379-24-000003/0000103379-24-000003.pdf,"Feb 7, 2024 ... In connection with the Quarterly Report of V.F. Corporation (the “Company”) on Form 10-Q for the period ending December 30, 2023 as filed ..."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,10-Q - 11/03/2023 - *Demo Website,https://www.vfc.com/investors/financial-information/sec-filings/content/0000103379-23-000018/0000103379-23-000018.pdf,"Nov 3, 2023 ... increased focus on environmental, social and governance issues; VF's ... In connection with the Quarterly Report of V.F. Corporation (the “Company ..."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,10-K - 05/26/2022 - *Demo Website,https://www.vfc.com/investors/financial-information/sec-filings/content/0000103379-22-000006/0000103379-22-000006.pdf,"May 26, 2022 ... projects that focus on VF's key environmental sustainability initiatives. ... In connection with the Annual Report of V.F. Corporation (the “ ..."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,10-Q - 08/03/2023 - *Demo Website,https://www.vfc.com/investors/financial-information/sec-filings/content/0000103379-23-000015/0000103379-23-000015.pdf,"Aug 3, 2023 ... On July 25, 2023, VF's Board of ... effects from climate change; VF's ... In connection with the Quarterly Report of V.F. Corporation (the “Company ..."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,8-K - 10/30/2023 - *Demo Website,https://www.vfc.com/investors/financial-information/sec-filings/content/0001157523-23-001573/0001157523-23-001573.pdf,"October 30, 2023. Page 3. Exhibit 99. VF Corporation Reports Second Quarter Fiscal 2024 Results and Announces Reinvent, a Comprehensive."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,2023 Annual Report,https://investors.hookerfurnishings.com/static-files/08d8d489-0e08-4428-b3b6-59b8fe5e4417,"Apr 14, 2023 ... Unless otherwise indicated, references to the “Company,” “we,” “our” or “us” refer to Hooker Furnishings Corporation and its consolidated ..."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,Form 10-K for Hooker Furnishings Corp filed 04/14/2023,https://investors.hookerfurnishings.com/static-files/9c80ca2d-2de2-4726-bdb9-dbfc48e7ebd1,"Apr 14, 2023 ... Indicate by check mark whether the registrant (1) has filed all reports required to be filed by Section 13 or 15(d) of the Securities ..."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,2022 Annual Report - HOOKER,https://investors.hookerfurnishings.com/static-files/3c7ddc06-bf07-400b-9c88-ae102f793337,"Apr 15, 2022 ... Hooker Furnishings Corporation, incorporated in Virginia in 1924, is a designer, marketer and importer of casegoods (wooden and metal furniture) ..."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,2024 Annual Report,https://investors.hookerfurnishings.com/static-files/3581e58f-35fb-469a-9975-0b70e9209118,"Apr 30, 2024 ... ANNUAL REPORT ON FORM 10-K. Hooker Furnishings Corporation's Annual Report on Form. 10-K, included herein, is also available on our website at."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,Form 8-K for Hooker Furnishings Corp filed 03/17/2023,https://investors.hookerfurnishings.com/static-files/15e6ff06-9c0f-4ab2-8866-9320e5681be8,"Mar 17, 2023 ... Date of Report (Date of earliest event reported): March 14, 2023. HOOKER FURNISHINGS CORPORATION. (Exact name of registrant as specified in ..."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,Form 10-Q for Hooker Furnishings Corp filed 12/08/2023,https://investors.hookerfurnishings.com/static-files/c0db1cac-bbc6-4604-866f-afef23d06634,"Dec 8, 2023 ... Indicate by check mark whether the registrant (1) has filed all reports required to be filed by Section 13 or 15(d) of the Securities ..."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,Form 8-K for Hooker Furnishings Corp filed 09/08/2023,https://investors.hookerfurnishings.com/static-files/033a50d5-e97a-43aa-9efe-f94e594ce96b,"Sep 8, 2023 ... Date of Report (Date of earliest event reported): September 8, 2023. Hooker Furnishings Corporation. (Exact ..."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,Form 10-Q for Hooker Furnishings Corp filed 06/08/2023,https://investors.hookerfurnishings.com/static-files/bbf9731a-6b75-4d6c-b2d5-7a2e479da567,"Jun 8, 2023 ... 2023 (“2023 Annual Report”). The preparation ... challenges to the retail environment ... In connection with the Hooker Furnishings Corporation (the ..."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,Hooker Furnishings Reports Fiscal 2023 Results,https://investors.hookerfurnishings.com/node/14786/pdf,"Apr 15, 2023 ... Hooker Furnishings Corporation's corporate offices and upholstery ... environment for home ... ""Risk Factors"" in the Company's Annual Report on Form."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,Form 10-Q for Hooker Furnishings Corp filed 12/08/2022,https://investors.hookerfurnishings.com/static-files/35841358-f8a5-4f34-abac-b9123a662145,"Dec 8, 2022 ... Indicate by check mark whether the registrant (1) has filed all reports required to be filed by Section 13 or 15(d) of the Securities ..."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:hookerfurnishings.com,Untitled,https://www.hookerfurnishings.com/css/30109/pdf/2023-CSR-Report-FINAL-5-9-23.pdf,"May 10, 2023 ... 54. Page 3. | 2023 Corporate Social Responsibility Report. 3. 2022 was a transformative year for Hooker Furnishings . Looking back, our team's ..."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:hookerfurnishings.com,2024 Corporate Responsibility Report,https://www.hookerfurnishings.com/css/30109/pdf/2024%20CSR%20Report%2005022024.pdf,"May 3, 2024 ... Below are Hooker Furnishings' 2023 company demographics for US-based employees. ... Environment: Hooker Furnishings is committed to protecting the ..."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:hookerfurnishings.com,Untitled,https://www.hookerfurnishings.com/css/30109/pdf/2022-CSR-Report.pdf,"Aug 18, 2022 ... ... environment for all Hooker Furnishings ... Below are Hooker Furnishings' 2021 company demographics. Company Total ... 2022 Corporate Social ..."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:hookerfurnishings.com,2023 Annual Report,https://investors.hookerfurnishings.com/static-files/08d8d489-0e08-4428-b3b6-59b8fe5e4417,"Apr 14, 2023 ... Unless otherwise indicated, references to the “Company,” “we,” “our” or “us” refer to Hooker Furnishings Corporation and its consolidated ..."
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:hookerfurnishings.com,WATER RESOURCES • ENVIRONMENTAL SERVICES ...,https://www.hookerfurnishings.com/css/30109/pdf/Hooker-Furnishings-FY2022_CDP-Verification-Opinion-Declaration_July-21-2023.pdf,"Jul 21, 2023 ... Boundaries of the reporting company GHG ... Social and Environmental ... benefit of Hooker Furniture in accordance with the terms of our agreement."
